,index,Title,Rank,World_Gross,Domestic_Gross,Domestic_Percentage,Foreign_Gross,Foreign_Percentage,Year,Distributor,Domestic_Opening,Budget,Release_Month,Rating,Runtime,Markets,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Musical,Mystery,Romance,SciFi,Sport,Thriller,War,Western,Paramount Pictures,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.
299,516,Kingsman: The Secret Service,303,414351546,128261724.0,31.0,286089822,69.0,2015,Twentieth Century Fox,36206331.0,81000000.0,1.0,R,129.0,4.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
300,517,Night at the Museum: Battle of the Smithsonian,304,413106170,177243721.0,42.9,235862449,57.1,2009,Twentieth Century Fox,54173286.0,150000000.0,5.0,PG,105.0,4.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
301,518,Batman,305,411508343,251348343.0,61.1,160160000,38.9,1989,Warner Bros.,40489746.0,35000000.0,6.0,,126.0,50.45238095238095,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
302,519,The Bodyguard,306,411006740,122006740.0,29.7,289000000,70.3,1992,Warner Bros.,16611793.0,90344416.66666667,11.0,R,129.0,50.45238095238095,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
303,520,Pacific Rim,307,411002906,101802906.0,24.8,309200000,75.2,2013,Warner Bros.,37285325.0,190000000.0,7.0,PG13,131.0,50.45238095238095,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
304,521,Kingsman: The Golden Circle,308,410902662,100234838.0,24.4,310667824,75.6,2017,Twentieth Century Fox,39023010.0,104000000.0,9.0,R,141.0,50.45238095238095,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
305,524,Ice Age: Collision Course,310,408754975,64063008.0,15.7,344691967,84.3,2016,Twentieth Century Fox,21373064.0,105000000.0,6.0,PG,94.0,54.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
306,525,Twilight,311,408430415,193962473.0,47.5,214467942,52.5,2008,Summit Entertainment,69637740.0,37000000.0,11.0,PG13,122.0,57.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
307,526,Signs,312,408247917,227966634.0,55.8,180281283,44.2,2002,Walt Disney Studios Motion Pictures,60117080.0,72000000.0,8.0,PG13,106.0,57.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
308,527,X2: XMen United,313,407711549,214949694.0,52.7,192761855,47.3,2003,Twentieth Century Fox,85558731.0,110000000.0,4.0,PG13,134.0,57.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
309,528,Alita: Battle Angel,314,404980543,85838210.0,21.2,319142333,78.8,2019,Twentieth Century Fox,28525613.0,170000000.0,2.0,PG13,122.0,57.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
310,529,The Mummy: Tomb of the Dragon Emperor,315,403449830,102491776.0,25.4,300958054,74.6,2008,Universal Pictures,40457770.0,145000000.0,7.0,PG13,112.0,57.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
311,530,Prometheus,316,403354469,126477084.0,31.4,276877385,68.6,2012,Twentieth Century Fox,51050101.0,130000000.0,5.0,R,124.0,57.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
312,531,Gone with the Wind,317,402352579,200852579.0,49.9,201500000,50.1,1939,MetroGoldwynMayer (MGM),37095965.9287576,90344416.66666667,12.0,,238.0,50.45238095238095,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
313,532,Mamma Mia! Here We Go Again,318,402254384,120634935.0,30.0,281619449,70.0,2018,Universal Pictures,34952180.0,75000000.0,7.0,PG13,114.0,65.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
314,533,Eternals,319,402025682,164868334.0,41.0,237157348,59.0,2021,Walt Disney Studios Motion Pictures,71297219.0,90344416.66666667,11.0,PG13,156.0,65.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
315,534,TRON: Legacy,320,400063852,172062763.0,43.0,228001089,57.0,2010,Walt Disney Studios Motion Pictures,44026211.0,170000000.0,12.0,PG,125.0,62.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
316,535,Mission: Impossible III,321,398479497,134029801.0,33.6,264449696,66.4,2006,Paramount Pictures,47743273.0,150000000.0,5.0,PG13,126.0,62.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
317,536,Dune,322,398266328,107466328.0,27.0,290800000,73.0,2021,Warner Bros.,41011174.0,90344416.66666667,9.0,PG13,155.0,62.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
318,537,Snow White and the Huntsman,323,396592829,155332381.0,39.2,241260448,60.8,2012,Universal Pictures,56217700.0,170000000.0,5.0,PG13,127.0,62.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
319,538,Grease,324,396271103,190071103.0,48.0,206200000,52.0,1978,Paramount Pictures,8941717.0,6000000.0,6.0,PG,110.0,50.45238095238095,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
320,539,Toy Story,325,394436586,223225679.0,56.6,171210907,43.4,1995,Walt Disney Studios Motion Pictures,29140617.0,90344416.66666667,11.0,,81.0,50.45238095238095,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
321,540,Solo: A Star Wars Story,326,392924807,213767512.0,54.4,179157295,45.6,2018,Walt Disney Studios Motion Pictures,84420489.0,275000000.0,5.0,PG13,135.0,50.45238095238095,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
322,541,The Wolf of Wall Street,327,392000694,116900694.0,29.8,275100000,70.2,2013,Paramount Pictures,18361578.0,100000000.0,12.0,R,180.0,50.45238095238095,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
323,542,Superman Returns,328,391081192,200081192.0,51.2,191000000,48.8,2006,Warner Bros.,52535096.0,270000000.0,6.0,PG13,154.0,50.45238095238095,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
324,543,Robin Hood: Prince of Thieves,329,390493908,165493908.0,42.4,225000000,57.6,1991,Warner Bros.,25625602.0,48000000.0,6.0,,143.0,50.45238095238095,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
325,544,Indiana Jones and the Raiders of the Lost Ark,330,389925971,248159971.0,63.6,141766000,36.4,1981,Paramount Pictures,8305823.0,18000000.0,6.0,PG,115.0,50.45238095238095,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
326,545,Independence Day: Resurgence,331,389681935,103144286.0,26.5,286537649,73.5,2016,Twentieth Century Fox,41039944.0,165000000.0,6.0,PG13,120.0,50.45238095238095,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
327,546,Live Free or Die Hard,332,388156011,134529403.0,34.7,253626608,65.3,2007,Twentieth Century Fox,33369559.0,110000000.0,6.0,PG13,128.0,50.45238095238095,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
328,547,Monster Hunt,333,387053506,32766.0,41.696187175043335,387020740,100.0,2015,FilmRise,21074.0,90344416.66666667,7.0,,117.0,50.45238095238095,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,548,Godzilla: King of the Monsters,334,386600138,110500138.0,28.6,276100000,71.4,2019,Warner Bros.,47776293.0,170000000.0,5.0,PG13,132.0,50.45238095238095,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
330,549,Home,335,386041607,177397510.0,46.0,208644097,54.0,2015,Twentieth Century Fox,52107731.0,135000000.0,3.0,PG,94.0,66.0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
331,550,Star Trek,336,385680446,257730019.0,66.8,127950427,33.2,2009,Paramount Pictures,75204289.0,150000000.0,5.0,PG13,127.0,66.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
332,551,1917,337,384919389,159227644.0,41.4,225691745,58.6,2019,Universal Pictures,576216.0,95000000.0,12.0,R,119.0,66.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
333,552,Happy Feet,338,384336108,198000317.0,51.5,186335791,48.5,2006,Warner Bros.,41533432.0,100000000.0,11.0,PG,108.0,46.0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
334,553,Cars 3,339,383930656,152901115.0,39.8,231029541,60.2,2017,Walt Disney Studios Motion Pictures,53688680.0,90344416.66666667,6.0,G,102.0,46.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
335,554,Ice Age,340,383257136,176387405.0,46.0,206869731,54.0,2002,Twentieth Century Fox,46312454.0,59000000.0,3.0,PG,81.0,46.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
336,555,Back to the Future,341,381906762,211406762.0,55.4,170500000,44.6,1985,Universal Pictures,11152500.0,19000000.0,7.0,,116.0,6.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
337,556,Fifty Shades Darker,342,381545846,114581250.0,30.0,266964596,70.0,2017,Universal Pictures,46607250.0,55000000.0,2.0,R,118.0,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
338,557,Monsters vs. Aliens,343,381509870,198351526.0,52.0,183158344,48.0,2009,DreamWorks,59321095.0,175000000.0,3.0,PG,94.0,6.0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
339,558,Black Widow,344,379631351,183651655.0,48.4,195979696,51.6,2021,Walt Disney Studios Motion Pictures,80366312.0,90344416.66666667,7.0,PG13,134.0,45.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
340,561,True Lies,346,378882411,146282411.0,38.6,232600000,61.4,1994,Twentieth Century Fox,25869770.0,115000000.0,7.0,R,141.0,45.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
341,562,Slumdog Millionaire,347,378410542,141319928.0,37.4,237090614,62.6,2008,Fox Searchlight Pictures,360018.0,15000000.0,11.0,R,120.0,70.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
342,563,Taken 2,348,376152455,139854287.0,37.2,236298168,62.8,2012,Twentieth Century Fox,49514769.0,45000000.0,9.0,PG13,92.0,53.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
343,564,G.I. Joe: Retaliation,349,375740705,122523060.0,32.6,253217645,67.4,2013,Paramount Pictures,40501814.0,130000000.0,3.0,PG13,110.0,53.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
344,565,Mad Max: Fury Road,350,375658750,154058340.0,41.0,221600410,59.0,2015,Warner Bros.,45428128.0,150000000.0,5.0,R,120.0,65.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
345,566,SpiderMan: Into the SpiderVerse,351,375540831,190241310.0,50.7,185299521,49.3,2018,Sony Pictures Entertainment (SPE),35363376.0,90000000.0,12.0,PG,117.0,65.0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
346,567,Shark Tale,352,374583879,160861908.0,42.9,213721971,57.1,2004,DreamWorks Distribution,47604606.0,75000000.0,9.0,PG,90.0,65.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
347,568,Once Upon a Time... In Hollywood,353,374565754,142502728.0,38.0,232063026,62.0,2019,Sony Pictures Entertainment (SPE),41082018.0,90000000.0,7.0,R,161.0,73.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
348,569,What Women Want,354,374111707,182811707.0,48.9,191300000,51.1,2000,Paramount Pictures,33614543.0,70000000.0,12.0,PG13,127.0,73.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
349,570,The Adventures of Tintin,355,373993951,77591831.0,20.8,296402120,79.2,2011,Paramount Pictures,9720993.0,90344416.66666667,10.0,PG,107.0,73.0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
350,571,Batman Begins,356,373661946,206852432.0,55.4,166809514,44.6,2005,Warner Bros.,48745440.0,150000000.0,6.0,PG13,140.0,43.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
351,572,Penguins of Madagascar,357,373515621,83850911.0,22.4,289664710,77.6,2014,Twentieth Century Fox,25447444.0,132000000.0,11.0,PG,92.0,43.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
352,573,XMen Origins: Wolverine,358,373062864,179883157.0,48.2,193179707,51.8,2009,Twentieth Century Fox,85058003.0,150000000.0,4.0,PG13,107.0,43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
353,574,The Golden Compass,359,372234864,70107728.0,18.8,302127136,81.2,2007,New Line Cinema,26125000.0,180000000.0,12.0,PG13,113.0,43.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,575,Fifty Shades Freed,360,371987838,100407760.0,27.0,271580078,73.0,2018,Universal Pictures,38560195.0,55000000.0,2.0,R,105.0,62.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
355,576,Hitch,361,371594210,179495555.0,48.3,192098655,51.7,2005,Sony Pictures Entertainment (SPE),43142214.0,70000000.0,2.0,PG13,118.0,62.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
356,577,Terminator Salvation,362,371353001,125322469.0,33.8,246030532,66.2,2009,Warner Bros.,42558390.0,200000000.0,5.0,PG13,115.0,62.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
357,578,Captain America: The First Avenger,363,370569774,176654505.0,47.7,193915269,52.3,2011,Paramount Pictures,65058524.0,140000000.0,7.0,PG13,124.0,62.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
358,579,Edge of Tomorrow,364,370541256,100206256.0,27.0,270335000,73.0,2014,Warner Bros.,28760246.0,178000000.0,5.0,PG13,113.0,55.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
359,580,There's Something About Mary,365,369884651,176484651.0,47.7,193400000,52.3,1998,Twentieth Century Fox,13740644.0,23000000.0,7.0,R,119.0,55.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
360,581,Gone Girl,366,369330363,167767189.0,45.4,201563174,54.6,2014,Twentieth Century Fox,37513109.0,61000000.0,10.0,R,149.0,65.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
361,582,The Fugitive,367,368875760,183875760.0,49.8,185000000,50.2,1993,Warner Bros.,23758855.0,90344416.66666667,8.0,PG13,130.0,65.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
362,583,Jurassic Park III,368,368780809,181171875.0,49.1,187608934,50.9,2001,Universal Pictures,50771645.0,93000000.0,7.0,PG13,92.0,65.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
363,584,My Big Fat Greek Wedding,369,368744044,241438208.0,65.5,127305836,34.5,2002,IFC Films,597362.0,5000000.0,4.0,PG,95.0,65.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
364,585,Hello Mr. Billionaire,370,366961907,142139839.41702494,41.696187175043335,366961907,100.0,2018,,37095965.9287576,90344416.66666667,7.0,,118.0,65.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,586,Die Hard with a Vengeance,371,366101666,100012499.0,27.3,266089167,72.7,1995,Twentieth Century Fox,22162245.0,90000000.0,5.0,R,128.0,65.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
366,587,Shazam!,372,365971656,140371656.0,38.4,225600000,61.6,2019,Warner Bros.,53505326.0,100000000.0,4.0,PG13,132.0,65.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
367,588,The Nun,373,365551694,117450119.0,32.1,248101575,67.9,2018,Warner Bros.,53807379.0,22000000.0,9.0,R,96.0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
368,589,Alvin and the Chipmunks,374,365352546,217326974.0,59.5,148025572,40.5,2007,Twentieth Century Fox,44307417.0,60000000.0,12.0,PG,92.0,41.0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
369,590,Notting Hill,375,363889678,116089678.0,31.9,247800000,68.1,1999,Universal Pictures,21811180.0,42000000.0,5.0,PG13,124.0,4.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
370,591,Tenet,376,363656624,58456624.0,16.1,305200000,83.9,2020,Warner Bros.,9353090.0,90344416.66666667,8.0,PG13,150.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
371,592,A Bug's Life,377,363258859,162798565.0,44.8,200460294,55.2,1998,Walt Disney Studios Motion Pictures,291121.0,120000000.0,11.0,,95.0,4.0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
372,593,Night at the Museum: Secret of the Tomb,378,363204635,113746621.0,31.3,249458014,68.7,2014,Twentieth Century Fox,17100520.0,127000000.0,12.0,PG,98.0,4.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
373,594,Ocean's Twelve,379,362744280,125544280.0,34.6,237200000,65.4,2004,Warner Bros.,39153380.0,110000000.0,12.0,PG13,125.0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
374,595,Planet of the Apes,380,362211740,180011740.0,49.7,182200000,50.3,2001,Twentieth Century Fox,68532960.0,100000000.0,7.0,PG13,119.0,4.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
375,596,The Hangover Part III,381,362000072,112200072.0,31.0,249800000,69.0,2013,Warner Bros.,41671198.0,103000000.0,5.0,R,100.0,4.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
376,597,The World Is Not Enough,382,361832400,126943684.0,35.1,234888716,64.9,1999,MetroGoldwynMayer (MGM),35519007.0,135000000.0,11.0,PG13,128.0,50.45238095238095,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
377,598,Monster Hunt 2,383,361682618,706153.0,0.2,360976465,99.8,2018,Lionsgate,341834.0,90344416.66666667,2.0,,110.0,50.45238095238095,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
378,599,Fast & Furious,384,360366870,155064265.0,43.0,205302605,57.0,2009,Universal Pictures,70950500.0,85000000.0,4.0,PG13,107.0,66.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
379,600,Noah,385,359200044,101200044.0,28.2,258000000,71.8,2014,Paramount Pictures,43720472.0,125000000.0,3.0,PG13,138.0,66.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
380,601,The Karate Kid,386,359126022,176591618.0,49.2,182534404,50.8,2010,Sony Pictures Entertainment (SPE),55665805.0,40000000.0,6.0,PG,140.0,66.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
381,602,Home Alone 2: Lost in New York,387,358994850,173585516.0,48.4,185409334,51.6,1992,Twentieth Century Fox,31126882.0,90344416.66666667,11.0,PG,120.0,50.45238095238095,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
382,603,Hotel Transylvania,388,358375603,148313048.0,41.4,210062555,58.6,2012,Sony Pictures Entertainment (SPE),42522194.0,85000000.0,9.0,PG,91.0,50.45238095238095,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
383,604,Minority Report,389,358372926,132072926.0,36.8,226300000,63.2,2002,Twentieth Century Fox,35677125.0,102000000.0,6.0,PG13,145.0,50.45238095238095,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
384,605,Your Name.,390,358180115,5017246.0,1.4,353162869,98.6,2016,FUNimation Entertainment,1813781.0,90344416.66666667,8.0,PG,106.0,21.0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
385,606,Top Gun,391,357288178,180258178.0,50.4,177030000,49.6,1986,Paramount Pictures,8193052.0,90344416.66666667,5.0,,110.0,50.45238095238095,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
386,607,The Legend of Tarzan,392,356700357,126643061.0,35.5,230057296,64.5,2016,Warner Bros.,38527856.0,180000000.0,6.0,PG13,110.0,50.45238095238095,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
387,608,American Beauty,393,356296601,130096601.0,36.5,226200000,63.5,1999,DreamWorks Distribution,861531.0,15000000.0,9.0,R,122.0,50.45238095238095,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,609,Spirited Away,394,355700804,13750644.0,3.9,341950160,96.1,2001,Walt Disney Studios Motion Pictures,449839.0,90344416.66666667,7.0,PG,125.0,21.0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
389,610,Apollo 13,395,355237933,173837933.0,48.9,181400000,51.1,1995,Universal Pictures,25353380.0,90344416.66666667,6.0,PG,140.0,50.45238095238095,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
390,611,Rain Man,396,354825435,172825435.0,48.7,182000000,51.3,1988,MetroGoldwynMayer (MGM),7005719.0,25000000.0,12.0,,133.0,50.45238095238095,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,612,The Great Gatsby,397,353642274,144840419.0,41.0,208801855,59.0,2013,Warner Bros.,50085185.0,105000000.0,5.0,PG13,143.0,56.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
392,613,Dumbo,398,353284621,114766307.0,32.5,238518314,67.5,2019,Walt Disney Studios Motion Pictures,45990748.0,170000000.0,3.0,PG,112.0,56.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
393,614,I Robot,399,353133898,144801023.0,41.0,208332875,59.0,2004,Twentieth Century Fox,52179887.0,120000000.0,7.0,PG13,115.0,56.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
394,615,Basic Instinct,400,352927224,117727224.0,33.4,235200000,66.6,1992,TriStar Pictures,15129385.0,49000000.0,3.0,R,127.0,50.45238095238095,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
395,616,Murder on the Orient Express,401,352794081,102826543.0,29.2,249967538,70.8,2017,Twentieth Century Fox,28681472.0,55000000.0,11.0,PG13,114.0,70.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
396,617,XMen: First Class,402,352616690,146408305.0,41.5,206208385,58.5,2011,Twentieth Century Fox,55101604.0,160000000.0,6.0,PG13,131.0,70.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
397,618,The Angry Birds Movie,403,352333929,107509366.0,30.5,244824563,69.5,2016,Sony Pictures Entertainment (SPE),38155177.0,73000000.0,5.0,PG,97.0,70.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
398,619,GoldenEye,404,352194034,106429941.0,30.2,245764093,69.8,1995,MetroGoldwynMayer (MGM),26205007.0,90344416.66666667,11.0,PG13,130.0,50.45238095238095,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
399,620,Catch Me If You Can,405,352114312,164615351.0,46.8,187498961,53.2,2002,DreamWorks Distribution,30053627.0,52000000.0,12.0,PG13,141.0,50.45238095238095,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,621,Now You See Me,406,351723989,117723989.0,33.5,234000000,66.5,2013,Lionsgate,29350389.0,75000000.0,5.0,PG13,115.0,50.45238095238095,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
401,622,Hannibal,407,351692268,165092268.0,46.9,186600000,53.1,2001,MetroGoldwynMayer (MGM),58003121.0,87000000.0,2.0,R,131.0,50.45238095238095,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
402,623,The Mask,408,351583407,119938730.0,34.1,231644677,65.9,1994,New Line Cinema,23117068.0,23000000.0,7.0,PG13,101.0,50.45238095238095,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,624,Peter Rabbit,409,351496066,115253424.0,32.8,236242642,67.2,2018,Sony Pictures Entertainment (SPE),25010928.0,50000000.0,2.0,PG,95.0,75.0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
404,625,Speed,410,350448145,121248145.0,34.6,229200000,65.4,1994,Twentieth Century Fox,14456194.0,30000000.0,6.0,R,116.0,50.45238095238095,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
