,index,Title,Rank,World_Gross,Domestic_Gross,Domestic_Percentage,Foreign_Gross,Foreign_Percentage,Year,Distributor,Domestic_Opening,Budget,Release_Month,Rating,Runtime,Markets,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Musical,Mystery,Romance,SciFi,Sport,Thriller,War,Western,Paramount Pictures,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.
21,45,Minions,22,1159444662,336045770.0,29.0,823398892,71.0,2015,Universal Pictures,115718405.0,74000000.0,4.0,PG,91.0,67.0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
22,47,Captain America: Civil War,23,1153337496,408084349.0,35.4,745253147,64.6,2016,Walt Disney Studios Motion Pictures,179139142.0,250000000.0,4.0,PG13,147.0,48.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
23,49,Aquaman,24,1148485886,335061807.0,29.2,813424079,70.8,2018,Warner Bros.,67873522.0,90344416.66666667,12.0,PG13,143.0,47.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
24,51,The Lord of the Rings: The Return of the King,25,1146030912,377845905.0,33.0,768185007,67.0,2003,New Line Cinema,72629713.0,94000000.0,12.0,PG13,201.0,67.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,53,SpiderMan: Far from Home,26,1131927996,390532085.0,34.5,741395911,65.5,2019,Sony Pictures Entertainment (SPE),92579212.0,160000000.0,6.0,PG13,129.0,67.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
26,55,Captain Marvel,27,1128462972,426829839.0,37.8,701633133,62.2,2019,Walt Disney Studios Motion Pictures,153433423.0,160000000.0,3.0,PG13,123.0,56.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
27,57,Transformers: Dark of the Moon,28,1123794079,352390543.0,31.4,771403536,68.6,2011,DreamWorks,97852865.0,195000000.0,6.0,PG13,154.0,56.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,59,Skyfall,29,1108569499,304360277.0,27.5,804209222,72.5,2012,Sony Pictures Entertainment (SPE),88364714.0,200000000.0,10.0,PG13,143.0,58.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
29,61,Transformers: Age of Extinction,30,1104054072,245439076.0,22.2,858614996,77.8,2014,Paramount Pictures,100038390.0,210000000.0,6.0,PG13,165.0,58.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
30,63,The Dark Knight Rises,31,1081142612,448139099.0,41.4,633003513,58.6,2012,Warner Bros.,160887295.0,250000000.0,7.0,PG13,164.0,56.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
