,URL,Rank,Title,World_Gross,Domestic_Gross,Domestic_Percentage,Foreign_Gross,Foreign_Percentage,Year,Distributor,Domestic_Opening,Budget,Release_Month,Rating,Runtime,Genres,Markets
370,/title/tt0472181/?ref_=bo_cso_table_182,182,The Smurfs,563749323,142614158.0,25.3,421135165,74.7,2011-01-01,Sony Pictures Entertainment (SPE),35611637.0,110000000.0,1900-07-01,PG,1 hr 43 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy",72.0
371,/title/tt1216475/?ref_=bo_cso_table_183,183,Cars 2,559852396,191452396.0,34.2,368400000,65.8,2011-01-01,Walt Disney Studios Motion Pictures,66135507.0,200000000.0,1900-06-01,G,1 hr 46 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Sport",74.0
372,/title/tt1216475/?ref_=bo_cso_table_183,183,Cars 2,559852396,191452396.0,34.2,368400000,65.8,2011-01-01,Walt Disney Studios Motion Pictures,66135507.0,200000000.0,1900-06-01,G,1 hr 46 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Sport",74.0
373,/title/tt0360717/?ref_=bo_cso_table_184,184,King Kong,556906378,218080025.0,39.2,338826353,60.8,2005-01-01,Universal Pictures,50130145.0,207000000.0,1900-12-01,PG13,3 hr 7 min,"Action
    
        Adventure
    
        Drama
    
        Romance",74.0
374,/title/tt0360717/?ref_=bo_cso_table_184,184,King Kong,556906378,218080025.0,39.2,338826353,60.8,2005-01-01,Universal Pictures,50130145.0,207000000.0,1900-12-01,PG13,3 hr 7 min,"Action
    
        Adventure
    
        Drama
    
        Romance",74.0
375,/title/tt0448694/?ref_=bo_cso_table_185,185,Puss in Boots,554987477,149260504.0,26.9,405726973,73.1,2011-01-01,DreamWorks,34077439.0,130000000.0,1900-10-01,PG,1 hr 30 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy",74.0
376,/title/tt0448694/?ref_=bo_cso_table_185,185,Puss in Boots,554987477,149260504.0,26.9,405726973,73.1,2011-01-01,DreamWorks,34077439.0,130000000.0,1900-10-01,PG,1 hr 30 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy",74.0
377,/title/tt4701660/?ref_=bo_cso_table_186,186,The Mermaid,553810228,3232685.0,0.6,550577543,99.4,2016-01-01,Sony Pictures Entertainment (SPE),985052.0,,1900-02-01,R,1 hr 34 min,"Comedy
    
        Drama
    
        Fantasy
    
        Romance",74.0
378,/title/tt4701660/?ref_=bo_cso_table_186,186,The Mermaid,553810228,3232685.0,0.6,550577543,99.4,2016-01-01,Sony Pictures Entertainment (SPE),985052.0,,1900-02-01,R,1 hr 34 min,"Comedy
    
        Drama
    
        Fantasy
    
        Romance",74.0
379,/title/tt0120591/?ref_=bo_cso_table_187,187,Armageddon,553709788,201578182.0,36.4,352131606,63.6,1998-01-01,Walt Disney Studios Motion Pictures,36089972.0,140000000.0,1900-07-01,PG13,2 hr 31 min,"Action
    
        Adventure
    
        SciFi
    
        Thriller",
380,/title/tt0120591/?ref_=bo_cso_table_187,187,Armageddon,553709788,201578182.0,36.4,352131606,63.6,1998-01-01,Walt Disney Studios Motion Pictures,36089972.0,140000000.0,1900-07-01,PG13,2 hr 31 min,"Action
    
        Adventure
    
        SciFi
    
        Thriller",
381,/title/tt0319262/?ref_=bo_cso_table_188,188,The Day After Tomorrow,552639571,186740799.0,33.8,365898772,66.2,2004-01-01,Twentieth Century Fox,68743584.0,125000000.0,1900-05-01,PG13,2 hr 4 min,"Action
    
        Adventure
    
        SciFi
    
        Thriller",
382,/title/tt0319262/?ref_=bo_cso_table_188,188,The Day After Tomorrow,552639571,186740799.0,33.8,365898772,66.2,2004-01-01,Twentieth Century Fox,68743584.0,125000000.0,1900-05-01,PG13,2 hr 4 min,"Action
    
        Adventure
    
        SciFi
    
        Thriller",
383,/title/tt1637725/?ref_=bo_cso_table_189,189,Ted,549368315,218815487.0,39.8,330552828,60.2,2012-01-01,Universal Pictures,54415205.0,50000000.0,1900-06-01,R,1 hr 46 min,Comedy,
384,/title/tt1637725/?ref_=bo_cso_table_189,189,Ted,549368315,218815487.0,39.8,330552828,60.2,2012-01-01,Universal Pictures,54415205.0,50000000.0,1900-06-01,R,1 hr 46 min,Comedy,
385,/title/tt2179136/?ref_=bo_cso_table_190,190,American Sniper,547426372,350126372.0,64.0,197300000,36.0,2014-01-01,Warner Bros.,633456.0,58800000.0,1900-12-01,R,2 hr 13 min,"Action
    
        Biography
    
        Drama
    
        War",
386,/title/tt2179136/?ref_=bo_cso_table_190,190,American Sniper,547426372,350126372.0,64.0,197300000,36.0,2014-01-01,Warner Bros.,633456.0,58800000.0,1900-12-01,R,2 hr 13 min,"Action
    
        Biography
    
        Drama
    
        War",
387,/title/tt0120755/?ref_=bo_cso_table_191,191,Mission: Impossible II,546388108,215409889.0,39.4,330978219,60.6,2000-01-01,Paramount Pictures,57845297.0,125000000.0,1900-05-01,PG13,2 hr 3 min,"Action
    
        Adventure
    
        Thriller",
388,/title/tt0120755/?ref_=bo_cso_table_191,191,Mission: Impossible II,546388108,215409889.0,39.4,330978219,60.6,2000-01-01,Paramount Pictures,57845297.0,125000000.0,1900-05-01,PG13,2 hr 3 min,"Action
    
        Adventure
    
        Thriller",
389,/title/tt7752454/?ref_=bo_cso_table_192,192,Detective Chinatown 2,544185156,1983984.0,0.4,542201172,99.6,2018-01-01,Warner Bros.,704047.0,,1900-02-01,R,2 hr 1 min,"Action
    
        Comedy
    
        Mystery",
390,/title/tt7752454/?ref_=bo_cso_table_192,192,Detective Chinatown 2,544185156,1983984.0,0.4,542201172,99.6,2018-01-01,Warner Bros.,704047.0,,1900-02-01,R,2 hr 1 min,"Action
    
        Comedy
    
        Mystery",
391,/title/tt3385516/?ref_=bo_cso_table_193,193,XMen: Apocalypse,543934105,155442489.0,28.6,388491616,71.4,2016-01-01,Twentieth Century Fox,65769562.0,178000000.0,1900-05-01,PG13,2 hr 24 min,"Action
    
        Adventure
    
        SciFi",
392,/title/tt3385516/?ref_=bo_cso_table_193,193,XMen: Apocalypse,543934105,155442489.0,28.6,388491616,71.4,2016-01-01,Twentieth Century Fox,65769562.0,178000000.0,1900-05-01,PG13,2 hr 24 min,"Action
    
        Adventure
    
        SciFi",
393,/title/tt1515091/?ref_=bo_cso_table_194,194,Sherlock Holmes: A Game of Shadows,543848418,186848418.0,34.4,357000000,65.6,2011-01-01,Warner Bros.,39637079.0,,1900-12-01,PG13,2 hr 9 min,"Action
    
        Adventure
    
        Mystery",
394,/title/tt1515091/?ref_=bo_cso_table_194,194,Sherlock Holmes: A Game of Shadows,543848418,186848418.0,34.4,357000000,65.6,2011-01-01,Warner Bros.,39637079.0,,1900-12-01,PG13,2 hr 9 min,"Action
    
        Adventure
    
        Mystery",
395,/title/tt1323594/?ref_=bo_cso_table_195,195,Despicable Me,543113985,251513985.0,46.3,291600000,53.7,2010-01-01,Universal Pictures,56397125.0,69000000.0,1900-07-01,PG,1 hr 35 min,"Adventure
    
        Animation
    
        Comedy
    
        Crime
    
        Family
    
        SciFi",61.0
396,/title/tt1323594/?ref_=bo_cso_table_195,195,Despicable Me,543113985,251513985.0,46.3,291600000,53.7,2010-01-01,Universal Pictures,56397125.0,69000000.0,1900-07-01,PG,1 hr 35 min,"Adventure
    
        Animation
    
        Comedy
    
        Crime
    
        Family
    
        SciFi",61.0
397,/title/tt1661199/?ref_=bo_cso_table_196,196,Cinderella,542358331,201151353.0,37.1,341206978,62.9,2015-01-01,Walt Disney Studios Motion Pictures,67877361.0,95000000.0,1900-03-01,PG,1 hr 45 min,"Adventure
    
        Drama
    
        Family
    
        Fantasy
    
        Romance",66.0
398,/title/tt1661199/?ref_=bo_cso_table_196,196,Cinderella,542358331,201151353.0,37.1,341206978,62.9,2015-01-01,Walt Disney Studios Motion Pictures,67877361.0,95000000.0,1900-03-01,PG,1 hr 45 min,"Adventure
    
        Drama
    
        Family
    
        Fantasy
    
        Romance",66.0
399,/title/tt0351283/?ref_=bo_cso_table_197,197,Madagascar,542063846,193595521.0,35.7,348468325,64.3,2005-01-01,DreamWorks Distribution,47224594.0,,1900-05-01,PG,1 hr 26 min,"Adventure
    
        Animation
    
        Comedy
    
        Family",66.0
400,/title/tt0351283/?ref_=bo_cso_table_197,197,Madagascar,542063846,193595521.0,35.7,348468325,64.3,2005-01-01,DreamWorks Distribution,47224594.0,,1900-05-01,PG,1 hr 26 min,"Adventure
    
        Animation
    
        Comedy
    
        Family",66.0
401,/title/tt0816711/?ref_=bo_cso_table_198,198,World War Z,540455876,202807711.0,37.5,337648165,62.5,2013-01-01,Paramount Pictures,66411834.0,190000000.0,1900-06-01,PG13,1 hr 56 min,"Action
    
        Adventure
    
        Horror
    
        SciFi",54.0
402,/title/tt0816711/?ref_=bo_cso_table_198,198,World War Z,540455876,202807711.0,37.5,337648165,62.5,2013-01-01,Paramount Pictures,66411834.0,190000000.0,1900-06-01,PG13,1 hr 56 min,"Action
    
        Adventure
    
        Horror
    
        SciFi",54.0
403,/title/tt1217209/?ref_=bo_cso_table_199,199,Brave,538983207,237283207.0,44.0,301700000,56.0,2012-01-01,Walt Disney Studios Motion Pictures,66323594.0,185000000.0,1900-06-01,PG,1 hr 33 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy",54.0
404,/title/tt1217209/?ref_=bo_cso_table_199,199,Brave,538983207,237283207.0,44.0,301700000,56.0,2012-01-01,Walt Disney Studios Motion Pictures,66323594.0,185000000.0,1900-06-01,PG,1 hr 33 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy",54.0
405,/title/tt0080684/?ref_=bo_cso_table_200,200,Star Wars: Episode V  The Empire Strikes Back,538375067,292753960.0,54.4,245621107,45.6,1980-01-01,Twentieth Century Fox,4910483.0,18000000.0,1900-05-01,PG,2 hr 4 min,"Action
    
        Adventure
    
        Fantasy
    
        SciFi",
406,/title/tt0080684/?ref_=bo_cso_table_200,200,Star Wars: Episode V  The Empire Strikes Back,538375067,292753960.0,54.4,245621107,45.6,1980-01-01,Twentieth Century Fox,4910483.0,18000000.0,1900-05-01,PG,2 hr 4 min,"Action
    
        Adventure
    
        Fantasy
    
        SciFi",
407,/title/tt0462538/?ref_=bo_cso_table_1,201,The Simpsons Movie,536414293,183135014.0,34.1,353279279,65.9,2007-01-01,Twentieth Century Fox,74036787.0,75000000.0,1900-07-01,PG13,1 hr 27 min,"Adventure
    
        Animation
    
        Comedy",73.0
